Date,Time,Type,Description,Amount,Balance/Promo,Notes
02/12/2025,7:00 PM,Lineup Placed,3-Pick Power [promo] (Isaiah Collier; Austin Reaves; John Collins),-11.00,0.00 (promo),
02/17/2025,11:27 AM,Deposit,Made via Apple Pay,17.00,17.00,
02/17/2025,11:27 AM,Lineup Placed,2-Pick Power (Tyrese Proctor; Isaac McKneely),-7.00,10.00,
02/17/2025,8:32 PM,Lineup Placed,3-Pick Power (Austin Reaves; Zach Edey; Jayson Tatum),-5.00,5.00,
02/19/2025,7:26 PM,Lineup Placed,3-Pick Power (LeBron James; Dorian Finney-Smith; Josh Green),-5.00,0.00,
03/15/2025,11:57 AM,Deposit,Made via Apple Pay,10.00,10.00,
03/15/2025,12:01 PM,Lineup Placed,2-Pick Power (Ja Morant; Day'Ron Sharpe),-5.00,5.00,
03/15/2025,12:03 PM,Lineup Placed,2-Pick Power (details collapsed),-5.00,0.00,
03/15/2025,3:01 PM,Lineup Won,2-Pick Power (K.D. Johnson; Anthony Finkley),15.00,15.00,
03/15/2025,4:07 PM,Lineup Refunded,2-Pick Power (details collapsed),5.00,20.00,
03/15/2025,5:10 PM,Lineup Placed,3-Pick Power (Cade Cunningham; Shai Gilgeous-Alexander +),-10.00,10.00,
03/15/2025,6:46 PM,Lineup Placed,2-Pick Power (Coby White; Josh Hart),-5.00,5.00,
03/15/2025,6:50 PM,Lineup Placed,2-Pick Power (details collapsed),-5.00,0.00,
03/15/2025,7:38 PM,Deposit,,10.00,10.00,
03/15/2025,7:39 PM,Lineup Placed,2-Pick Power (Nikola Jokic; Jordan Poole),-10.00,0.00,
03/15/2025,8:34 PM,Lineup Won,2-Pick Power (Nikola Jokic; Jordan Poole),27.50,27.50,
03/16/2025,9:48 AM,Lineup Placed,2-Pick Power (details collapsed),-7.00,20.50,
03/16/2025,11:07 AM,Lineup Placed,5-Pick Flex (Klay Thompson; Darius Garland; Paolo Banchero; Ty Jerome; Quentin Grimes),-10.00,10.50,
03/16/2025,11:21 AM,Lineup Placed,3-Pick Power (Yaxel Lendeborg; Franz Wagner; Darius Garland),-10.00,0.50,
03/16/2025,1:08 PM,Lineup Won,3-Pick Power (details collapsed) [uncertain - see notes],30.00,30.50,Before/Balance math is ambiguous; verify in app
03/16/2025,3:10 PM,Lineup Won,3-Pick Power (details collapsed) [uncertain - see notes],30.00,30.50,Before/Balance math is ambiguous; verify in app
03/16/2025,3:50 PM,Lineup Placed,3-Pick Power (Jakob Poeltl +),-5.00,25.50,
03/16/2025,3:55 PM,Lineup Placed,3-Pick Power (details collapsed),-10.00,15.50,
03/16/2025,4:01 PM,Lineup Placed,3-Pick Power (Scoot Henderson; Nic Claxton; Cameron Johnson),-5.00,10.50,
03/16/2025,5:48 PM,Lineup Placed,2-Pick Power (Joe Corona +),-10.00,0.50,
03/16/2025,7:01 PM,Lineup Refunded,2-Pick Power (self-refund; collapsed),10.00,10.50,
03/16/2025,7:09 PM,Lineup Placed,3-Pick Power (Giannis Antetokounmpo; SGA; Damian Lillard),-5.00,5.50,
03/16/2025,7:10 PM,Lineup Placed,2-Pick Power (details collapsed),-5.00,0.50,
03/18/2025,7:11 PM,Deposit,,10.00,10.50,
03/18/2025,7:13 PM,Lineup Placed,5-Pick Flex (James Harden; Brook Lopez; Damian Lillard; Draymond Green; Gary Trent),-10.00,0.50,
03/19/2025,5:41 PM,Deposit,,15.00,15.50,
03/19/2025,5:42 PM,Deposit,,15.00,30.50,
03/19/2025,5:44 PM,Lineup Placed,3-Pick Power (Johni Broome; Jalen Duren; Tim Hardaway Jr.),-10.00,20.50,
03/19/2025,7:07 PM,Lineup Placed,3-Pick Power (Johni Broome; Isaiah Collier; Keyonte George),-5.00,15.50,
03/19/2025,7:16 PM,Lineup Placed,3-Pick Flex (Austin Reaves; Kevin Durant; Matas Buzelis),-15.00,0.50,
03/20/2025,12:11 PM,Lineup Won,3-Pick Power (Johni Broome; Jalen Duren; Tim Hardaway Jr.),50.00,50.50,
03/20/2025,12:12 PM,Lineup Won,3-Pick Power (Johni Broome; Isaiah Collier; Keyonte George) [inferred],25.00,75.50,Icon cut off; amount inferred from math
03/20/2025,12:53 PM,Lineup Placed,4-Pick Flex (Pascal Siakam; Mikal Bridges; Jimmy Butler; Jakob Poeltl),-5.00,70.50,
03/20/2025,8:14 PM,Lineup Placed,4-Pick Power (Tre Jones; Zach LaVine; Keon Ellis; Immanuel Quickley),-10.00,60.50,
03/20/2025,8:54 PM,Lineup Placed,3-Pick Power (Nate Bittle; Jase Richardson; Chris Youngblood),-10.00,50.50,
03/20/2025,8:57 PM,Lineup Won,4-Pick Flex (Pascal Siakam; Mikal Bridges; Jimmy Butler; Jakob Poeltl),35.00,85.50,
03/21/2025,3:46 PM,Lineup Placed,(details cut off),-10.00,75.50,
03/21/2025,5:31 PM,Lineup Won,2-Pick Power (Walter Clayton Jr.; Myles Rigsby),30.00,105.50,
03/21/2025,5:57 PM,Lineup Placed,3-Pick Power - Flash Sale (James Harden; Quentin Grimes; Yves Missi),-10.00,95.50,
03/21/2025,6:15 PM,Lineup Placed,2-Pick Power (Al Horford; Deni Avdija),-7.00,88.50,
03/21/2025,7:18 PM,Lineup Placed,6-Pick Flex (Jamal Murray; Deni Avdija; Russell Westbrook; Darius Garland; Devin Booker; Kevin Durant),-8.50,80.00,
03/21/2025,8:08 PM,Lineup Won,3-Pick Power - Flash Sale (James Harden; Quentin Grimes; Yves Missi),50.00,130.00,
03/21/2025,8:28 PM,Lineup Placed,4-Pick Power (Ivica Zubac; James Harden; Zach Edey; Derrick Jones),-10.00,120.00,
03/21/2025,8:32 PM,Lineup Placed,3-Pick Power (Desmond Bane; James Harden; Kawhi Leonard),-20.00,100.00,
03/21/2025,8:33 PM,Lineup Placed,2-Pick Power (Ivica Zubac; Santi Aldama),-30.00,70.00,
03/21/2025,9:22 PM,Lineup Placed,2-Pick Power (Ivica Zubac; Trevon Brazile),-20.00,50.00,
03/21/2025,9:37 PM,Lineup Placed,2-Pick Power (JuJu Watkins; Jackson McAndrew),-25.00,25.00,
03/21/2025,9:53 PM,Lineup Placed,2-Pick Power (Keba Keita; Khalif Battle),-12.00,13.00,
03/21/2025,9:59 PM,Lineup Placed,2-Pick Power (Trevon Brazile; Eric Dailey),-13.00,0.00,
03/22/2025,4:48 PM,Lineup Won,2-Pick Power (JuJu Watkins; Jackson McAndrew),75.00,75.00,
03/22/2025,4:56 PM,Lineup Placed,3-Pick Power (Chaz Lanier; Liam McNeeley; Alex Sarr),-5.00,70.00,
03/22/2025,5:25 PM,Lineup Placed,2-Pick Power - Payout Boost (Keba Keita; Liam McNeeley),-10.00,60.00,
03/22/2025,7:57 PM,Lineup Placed,3-Pick Power,-9.00,51.00,
03/22/2025,7:58 PM,Lineup Placed,2-Pick Power (Gary Trent; Austin Reaves),-10.00,41.00,
03/22/2025,8:07 PM,Lineup Placed,2-Pick Power (DeMar DeRozan; Giannis Antetokounmpo),-20.00,21.00,
03/22/2025,8:10 PM,Lineup Won,2-Pick Power (Keba Keita; Khalif Battle),36.00,57.00,
03/22/2025,8:28 PM,Lineup Placed,6-Pick Flex (Coby White; Josh Giddey; LeBron James; Luka Doncic; Kevin Huerter; Dorian Finney-Smith),-16.00,41.00,
03/22/2025,8:29 PM,Lineup Placed,3-Pick Power (Coby White; Josh Giddey; LeBron James),-20.00,21.00,
03/22/2025,8:30 PM,Lineup Placed,2-Pick Power (Austin Reaves; Coby White),-21.00,0.00,
03/22/2025,9:36 PM,Lineup Won,2-Pick Power (DeMar DeRozan; Giannis Antetokounmpo),45.00,45.00,
03/22/2025,10:09 PM,Lineup Won,3-Pick Power (Coby White; Josh Giddey; LeBron James),60.00,165.00,
03/23/2025,8:25 AM,Lineup Placed,3-Pick Flex (Deni Avdija; Jaylen Murray; Keeshawn Barthelemy),-15.00,150.00,
03/23/2025,10:42 AM,Lineup Placed,3-Pick Power (Jaylen Murray; Malik Beasley; Max Strus),-20.00,130.00,
03/23/2025,10:45 AM,Lineup Placed,2-Pick Power (Aaron Gordon; Clifford Omoruyi),-30.00,100.00,
03/23/2025,10:46 AM,Lineup Placed,4-Pick Flex (Jeremy Fears; Kasparas Jakucionis; Norchad Omier; Luke Barrett),-20.00,80.00,
03/23/2025,10:55 AM,Lineup Placed,2-Pick Power - Protected Play (Clifford Omoruyi; Norchad Omier),-10.00,70.00,
03/23/2025,11:01 AM,Lineup Placed,2-Pick Power (James Harden; Toumani Camara),-20.00,50.00,
03/23/2025,12:44 PM,Lineup Placed,2-Pick Power (Evan Mobley; Kelly Olynyk),-50.00,0.00,
03/23/2025,5:52 PM,Promo Added,Protected Play,10.00,10.00 (promo),
03/23/2025,6:26 PM,Lineup Placed,3-Pick Power [promo] (James Harden; Kawhi Leonard; Isaiah Joe),-10.00,0.00 (promo),
06/10/2026,8:24 PM,Teams & Culture Buy,,-24.94,2.54,
06/10/2026,8:33 PM,Teams & Culture Sell,,35.69,38.23,
06/10/2026,8:46 PM,Lineup Won,2-Pick Power: Perfect Lineup (OG Anunoby; Dylan Harper),42.50,80.73,
06/10/2026,8:52 PM,Withdrawn,Sent to Bank Account,-80.73,0.00,
06/19/2026,10:08 AM,Lineup Refunded,3-Pick Flex (self-refunded by member),50.00,50.00,
06/19/2026,10:10 AM,Lineup Placed,3-Pick Power,-50.00,0.00,
06/19/2026,5:19 PM,Early Payout,3-Pick Power (Tim Ream; Michaela Onyenwere; Jonquel Jones),19.59,19.59,
06/19/2026,5:27 PM,Lineup Placed,4-Pick Flex - Protected Play,-19.00,0.59,
06/19/2026,8:49 PM,Lineup Won,4-Pick Flex: Win - Protected Play (Michaela Onyenwere; Jonquel Jones; Gabby Williams x2),14.25,14.84,
06/19/2026,9:11 PM,Teams & Culture Buy,,-14.08,0.76,Inferred - screenshot cut off
06/23/2026,8:50 PM,Teams & Culture Buy,,-4.84,0.95,
06/23/2026,9:10 PM,Lineup Won,5-Pick Power: Perfect Lineup - Payout Boost (Pauline Astier; Shohei Ohtani; Pete Crow-Armstrong; Jonquel Jones; Chelsea Gray),20.00,20.95,
06/23/2026,(after),Teams & Culture Sell,,5.50,,Balance not captured - screenshot cut off
07/03/2026,12:17 PM,Deposit,,100.00,100.87,Before-balance inferred
07/03/2026,12:46 PM,Lineup Placed,2-Pick Power,-25.00,75.87,
07/03/2026,6:02 PM,Teams & Culture Buy,,-74.52,1.35,
07/04/2026,10:20 AM,Lineup Won,2-Pick Power: Perfect Lineup (Joey Chestnut; Lionel Messi),57.50,58.85,
07/17/2026,10:30 AM,Lineup Placed,5-Pick Flex - Protected Play,-15.00,45.00,
07/17/2026,6:19 PM,Lineup Won,5-Pick Flex: Perfect Lineup - Protected Play (Petra Marcinko; Aliyah Boston; Jake Bennett; Angel Reese; Nneka Ogwumike),22.50,67.50,
07/17/2026,6:32 PM,Withdrawn,Sent to Bank Account,-22.50,45.00,
07/17/2026,7:21 PM,Early Payout,6-Pick Power (Petra Marcinko; Nneka Ogwumike x2; Lionel Messi; Enzo Fernandez; Casper Ruud),11.64,56.64,
07/18/2026,9:51 PM,Withdrawn,Sent to Bank Account,-11.64,45.00,
07/19/2026,3:21 PM,Lineup Won,4-Pick Power: Perfect Lineup (Lionel Messi; Raphael Collignon; Casper Ruud; Petra Marcinko),87.50,132.50,
07/19/2026,6:55 PM,Teams & Culture Buy,,-9.30,123.20,
08/05/2026,1:41 PM,Lineup Placed,3-Pick Power,-17.00,0.00,
08/05/2026,6:19 PM,Lineup Won,3-Pick Power: Perfect Lineup (Breanna Stewart; Arike Ogunbowale; Angel Reese),39.10,39.10,
08/05/2026,6:41 PM,Withdrawn,Sent to Bank Account,-39.10,0.00,
08/28/2026,8:52 PM,Lineup Placed,,-19.00,0.00,
08/28/2026,8:52 PM,Lineup Won,,29.89,29.89,
08/29/2026,12:17 PM,Lineup Won,3-Pick Power: Perfect Lineup (Jackie Young; Emily Engstler; Jayden Maiava),62.50,92.39,
